,T1,T2,direction,effect size,prevalence_T1,prevalence_T2,pval_naive,pval_bh,pval_by,pval_bonf
241,Zorya_TypeII,RM_Type_IIG_2,1,7.427456200075323,0.05993392234018858,0.0657621204246789,0.0,0.0,0.0,0.0
213,Zorya_TypeII,Druantia_III,1,5.303118444257257,0.05993392234018858,0.1011953374415324,1.282764478729014e-237,6.336856524921329e-235,4.9926196665735625e-234,1.901056957476399e-234
272,Druantia_III,RM_Type_IIG_2,1,4.6621753018719785,0.1011953374415324,0.0657621204246789,1.0469972721293834e-183,3.8791248932393657e-181,3.056246445681105e-180,1.5516499572957463e-180
600,Gao_Tmn,DS-28,1,4.553151021315567,0.10472195411686094,0.09334397505382731,0.0,0.0,0.0,0.0
582,Retron_I_C,Lamassu-Mrr,1,4.345008116088788,0.13601603682530256,0.16294825154057466,3.210166963027685e-60,6.796382056010041e-58,5.354666084191429e-57,4.7574674392070297e-57
669,SanaTA,Lamassu-Mrr,1,3.3927227935691975,0.2112257777117826,0.16294825154057466,5.050821257720429e-31,3.9396405810219345e-29,3.103924945544762e-28,7.485317103941675e-28
257,Druantia_III,Retron_I_C,-1,3.379517943181983,0.1011953374415324,0.13601603682530256,4.0584858418432864e-61,1.0024460029352917e-58,7.897972140050828e-58,6.01467601761175e-58
500,Hachiman,RnlAB,1,3.233231979319607,0.05739104610587274,0.03732645333729304,7.037733321574342e-48,9.481746165975614e-46,7.470384124295133e-45,1.0429920782573174e-44
226,Zorya_TypeII,Retron_I_C,-1,3.1381520558743823,0.05993392234018858,0.13601603682530256,1.7871859774593257e-34,1.471449788108178e-32,1.1593112644404704e-31,2.6486096185947207e-31
587,Retron_I_C,PD-T7-4,-1,3.0849490150836227,0.13601603682530256,0.046235800727596706,1.3642884972493806e-35,1.1893385605432835e-33,9.370442685944205e-33,2.021875552923582e-32
573,Retron_I_C,AbiE,1,3.082738639480156,0.13601603682530256,0.18371816764422005,9.940388893166935e-06,0.00023383581491545077,0.001842322425487815,0.014731656339673398
