,T1,T2,direction,effect size,prevalence_T1,prevalence_T2,pval_naive,pval_bh,pval_by,pval_bonf
114,Retron_II,PsyrTA,-1,6.731544380323536,0.03313298271975958,0.0526671675432006,3.0008900615324214e-167,1.6324841934736373e-165,1.0096677765430541e-164,8.162420967368186e-165
129,AbiU,PsyrTA,-1,5.718330279006122,0.019053343350864012,0.0526671675432006,1.3597692140906382e-90,4.62321532790817e-89,2.8593915697746024e-88,3.698572262326536e-88
107,PD-T4-1,PsyrTA,-1,5.107702856842615,0.019894815927873778,0.0526671675432006,4.2506339903916857e-07,4.446817097640533e-06,2.7502918249486006e-05,0.00011561724453865385
106,PD-T4-1,PD-T4-3,-1,5.097266970978625,0.019894815927873778,0.07738542449286251,4.919831559458838e-17,7.04312728512002e-16,4.356071987898048e-15,1.338194184172804e-14
134,PARIS_II,PsyrTA,-1,4.4747067101213585,0.02211870773854245,0.0526671675432006,4.285272145446548e-11,5.067800102441135e-10,3.1343607992361448e-09,1.1655940235614611e-08
82,AbiE,PD-T4-1,-1,4.359989929226302,0.053493613824192335,0.019894815927873778,0.0003778484018787391,0.0028622643211552363,0.017702689340409777,0.10277476531101704
83,AbiE,Retron_II,-1,4.323442571436985,0.053493613824192335,0.03313298271975958,1.6458404046635533e-06,1.6580318150684685e-05,0.00010254686096504979,0.0004476685900684865
23,CBASS_I,Retron_II,-1,3.845544318876101,0.042945154019534186,0.03313298271975958,0.0,0.0,0.0,0.0
133,PARIS_II,PD-T4-3,-1,3.630368804834156,0.02211870773854245,0.07738542449286251,2.7248172332914842e-05,0.00022459099619857084,0.0013890627098868903,0.007411502874552837
49,RM_Type_II,PD-T4-1,-1,3.483746434098084,0.138572501878287,0.019894815927873778,0.009430433536214446,0.04844849808952531,0.299646927905715,1.0
97,MazEF,PARIS_II,-1,3.45332105369235,0.15989481592787377,0.02211870773854245,0.000791416867153478,0.005765189331094789,0.03565685913865,0.215265387865746
8,Mok_Hok_Sok,Retron_II,-1,3.4186934650307568,0.12283996994740796,0.03313298271975958,5.245026823850744e-275,7.1332364804370115e-273,4.41180321717764e-272,1.4266472960874023e-272
