Species,6A_MBL,Abi2,AbiA,AbiAlpha,AbiB,AbiC,AbiD,AbiE,AbiH,AbiJ,AbiK,AbiL,AbiN,AbiO,AbiP2,AbiQ,AbiU,AbiV,All_UG,AspAB,Avs,Azaca,Belisama,Borvo,BREX,BstA,Bunzi,Butters_gp30_gp31,Butters_gp57r,CapRel,CasFinder,CBASS,Ceres,Cernunnos,CoCoNut,Damona,DarTG,Dazbog,dCTPdeaminase,DdmDE,Detocs,dGTPase,DISARM,Divona,Dnd,Dpd,DRT,Druantia,DS-1,DS-10,DS-11,DS-12B,DS-13,DS-14,DS-15,DS-16,DS-17,DS-18,DS-19,DS-2,DS-20,DS-22,DS-23,DS-24,DS-27,DS-28,DS-29,DS-3,DS-31,DS-32,DS-33,DS-34,DS-35,DS-36,DS-37,DS-38,DS-39,DS-4,DS-40,DS-41,DS-42,DS-43,DS-44,DS-45,DS-5,DS-6,DS-7,DS-8,DS-9,Dsr,Eleos,Epona,Erebus,Esos,FS_GIY_YIG,FS_HP,FS_HP_SDH_sah,FS_HsdR_like,Gabija,Gao_Ape,Gao_Her,Gao_Hhe,Gao_Iet,Gao_Mza,Gao_Ppl,Gao_Qat,Gao_RL,Gao_TerY,Gao_Tmn,Gao_Upx,GAPS1,GAPS2,GAPS4,GAPS6,gcu142,gcu167,gcu233,gcu24,gcuWGS21,Geb,Hachiman,HEC-01,HEC-02,HEC-03,HEC-04,HEC-05,HEC-06,HEC-07,HEC-09,Hma,Hna,Hypnos,JukAB,Kiwa,Lamassu-Fam,Lanthiphage,Lit,MADS,MazEF,Menshen,MMB_gp29_gp30,Mok_Hok_Sok,Mokosh,MqsRAC,Nantosuelta,Nemetona,NixI,NLR,Ogmios,Old_exonuclease,Olokun,Oshun,pAgo,Panchino_gp28,Paris,PD-Lambda-1,PD-Lambda-2,PD-Lambda-3,PD-Lambda-4,PD-Lambda-5,PD-Lambda-6,PD-T4-1,PD-T4-10,PD-T4-2,PD-T4-3,PD-T4-4,PD-T4-5,PD-T4-6,PD-T4-7,PD-T4-8,PD-T4-9,PD-T7-1,PD-T7-2,PD-T7-3,PD-T7-4,PD-T7-5,PfiAT,Pif,Prometheus,PrrC,PsyrTA,Pycsar,RADAR,Retron,RexAB,RloC,RM,RnlAB,RosmerTA,Rst_2TM_1TM_TIR,Rst_3HP,Rst_DUF4238,Rst_gop_beta_cll,Rst_HelicaseDUF2290,Rst_Hydrolase-3Tm,Rst_RT-nitrilase-Tm,Rst_TIR-NLR,SanaTA,SDIC1,SDIC3,SDIC4,SEFIR,Septu,Shango,Shedu,ShosTA,Sirona,SoFIC,SpbK,SspBCDE,Sucellos,TgvAB,Thoeris,Tiamat,TIR-I,TIR-III,TIR-IV,TIR-VII,Toutatis,Viperin,VP1826,VP1839,VP1851,VP1853,Wadjet,Zorya
Yersinia pestis,0,0,0,0,0,0,0.846740051,7.197290432,0,7.197290432,0,0,0,0,0.423370025,2.540220152,0,0,0,0,5.080440305,0,0,0,0,2.540220152,0,0,0,0,1000.84674,76.6299746,0,0,0,0,0,0,0.846740051,0,4.233700254,0,5.50381033,0,0.423370025,7.620660457,36.40982218,13.54784081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.43861135,1.693480102,0,0,0,0,0,0,0,88.48433531,0,23.2853514,0,2.540220152,0,0,0,2.963590178,1.693480102,2.963590178,0,0,0,0,29.63590178,0,0,0,0,0,0,40.64352244,0,0,0,0,0,0,0,0,0,0,0,0.846740051,13.54784081,751.4817951,0,0,0,15.24132091,0,0,4.657070279,3.810330229,0,0,0,0,0,0,0,0,0,0.846740051,0,5.50381033,118.1202371,0.846740051,0,1.693480102,5.080440305,0,0,0,0,0,0,3.810330229,0,0,0,0,0,19.05165114,2.963590178,0,2.963590178,703.6409822,0,0,17.78154107,32.59949196,0,0,19.47502117,4.657070279,97.79847587,2065.198984,0,238.3573243,0,2.116850127,0,0,0,0,0,0,1.270110076,0,0,0,0.423370025,15.66469094,13.97121084,5.50381033,0,0,0,0,4.233700254,0,0,8.044030483,0,0,0,0,0,0,0,0,0,0,0,1.270110076,3.386960203
Serratia ureilytica,0,0,0,0,0,8.791208791,2.197802198,15.38461538,0,21.97802198,0,2.197802198,0,0,21.97802198,0,28.57142857,0,0,0,63.73626374,0,0,0,39.56043956,74.72527473,0,0,0,6.593406593,48.35164835,178.021978,0,0,0,0,13.18681319,13.18681319,52.74725275,0,6.593406593,57.14285714,37.36263736,0,30.76923077,0,30.76923077,50.54945055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.98901099,0,0,0,0,43.95604396,4.395604396,0,0,101.0989011,2.197802198,19.78021978,8.791208791,15.38461538,13.18681319,2.197802198,2.197802198,0,2.197802198,39.56043956,0,0,0,2.197802198,0,0,0,0,0,0,0,70.32967033,0,0,0,0,0,0,0,0,0,2.197802198,0,0,24.17582418,186.8131868,0,0,0,142.8571429,30.76923077,0,4.395604396,15.38461538,0,0,0,0,149.4505495,0,2.197802198,10.98901099,0,2.197802198,0,17.58241758,6.593406593,17.58241758,0,30.76923077,46.15384615,0,0,6.593406593,4.395604396,4.395604396,0,8.791208791,0,0,19.78021978,0,35.16483516,54.94505495,4.395604396,2.197802198,8.791208791,206.5934066,32.96703297,0,15.38461538,0,0,4.395604396,123.0769231,0,19.78021978,1408.791209,8.791208791,74.72527473,0,50.54945055,0,0,2.197802198,8.791208791,0,28.57142857,2.197802198,0,0,0,24.17582418,134.0659341,72.52747253,32.96703297,17.58241758,0,2.197802198,0,13.18681319,0,0,147.2527473,2.197802198,0,0,0,0,0,0,0,0,0,0,2.197802198,48.35164835
Serratia marcescens,0,0,0,0,0,3.294892916,4.118616145,4.942339374,32.94892916,81.54859967,0,1.647446458,0,0,3.294892916,4.118616145,46.95222405,0,0,0,27.18286656,0.823723229,0,1.647446458,30.47775947,15.65074135,0,0,0,20.59308072,56.01317957,341.0214168,0,0,0,0,5.766062603,1.647446458,4.942339374,0,4.942339374,2.471169687,5.766062603,0,9.884678748,31.3014827,10.70840198,89.78583196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.118616145,9.060955519,0,0,0,48.59967051,2.471169687,0,2.471169687,137.5617792,0.823723229,3.294892916,1.647446458,29.65403624,29.65403624,0.823723229,1.647446458,0.823723229,0,13.17957166,0,0,0,4.942339374,14.00329489,0,0,0,0,0,0,41.18616145,0,0,0,0,0,0,0,0,0,66.72158155,0,0,4.118616145,48.59967051,0,25.5354201,0,79.90115321,16.47446458,0,14.82701812,75.78253707,0,0,0,0,13.17957166,0,35.42009885,2.471169687,0,53.54200988,0,46.95222405,2.471169687,0,2.471169687,4.118616145,52.71828666,0.823723229,0,0,2.471169687,143.3278418,0,30.47775947,0,0,10.70840198,0,22.24052718,122.7347611,7.413509061,11.53212521,39.53871499,36.24382208,29.65403624,0,38.71499176,0,7.413509061,18.94563427,224.8764415,0.823723229,205.9308072,1605.436573,0,109.5551895,0,12.35584843,0,0,5.766062603,97.19934102,2.471169687,0,0,0,0,0,3.294892916,238.0560132,14.82701812,32.12520593,27.18286656,0,0,0,0,0,0,1008.237232,0,0,0,0,0,0,0,0,0,0,0,0,183.6902801
Salmonella arizonae,0,0,0,0,0,0,7.360672976,9.463722397,0,0,0,0,0,0.525762355,3.154574132,0,0.525762355,0,0,0,373.2912723,0,0,0,0,2.628811777,0,0,0,19.45320715,0,3.154574132,0,0,0,0,2.103049422,0,0,0,0,0,0,0,9.463722397,3.154574132,124.6056782,84.12197687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.937960042,0,0,0,0,0,222.9232387,0,0,182.4395373,0,0,0,2.628811777,0,0,4.731861199,0,0,7.886435331,0,0,0,30.49421661,156.6771819,0,0,0,0,0,0,6.309148265,0,0,0,0,0,0,0,0,0,1.577287066,0,0,13.14405889,27.86540484,0,0,0.525762355,1021.030494,24.18506835,0,15.77287066,0,0,0,0,0,0,0,0.525762355,19.45320715,0,3.154574132,0,0,1013.669821,275.4994742,0,0,11.04100946,0,0,0,0,0,0,1.577287066,0,0,0,0,0,3.154574132,0,0,0,988.9589905,0,0,0.525762355,0,0.525762355,0,155.0998948,0.525762355,8.937960042,2215.562566,0,19.97896951,0,1.051524711,0,0,0.525762355,63.09148265,0,0,1.577287066,0,0,0,0,17.35015773,0,0.525762355,5.78338591,0,6.83491062,0,35.75184017,0,0,62.56572029,0,0,0,0,0,0,0,0,0,0,0,0.525762355,0
Klebsiella oxytoca,0,0,0,0,0,0,51.82667799,9.345794393,54.37553101,27.18776551,0,0,0,0,11.89464741,1.699235344,6.796941376,1.699235344,0,0,31.43585387,16.14273577,0,12.74426508,52.67629567,14.44350042,0.849617672,0,0,2.548853016,402.7187766,156.3296517,0,0,0,0,30.58623619,0.849617672,21.2404418,0,24.63891249,27.18776551,16.99235344,0,68.81903144,49.27782498,45.02973662,81.56329652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.097706032,1.699235344,0,0,0,3.398470688,31.43585387,0,1.699235344,189.4647409,0,0,0,72.21750212,5.947323704,121.4953271,64.57094308,12.74426508,15.2931181,42.4808836,2.548853016,0.849617672,0,35.68394223,0,0,0,0,0,0,0,152.931181,0,0,0,0,0,0,0,0,0,141.8861512,0,1.699235344,74.76635514,146.9838573,0,13.59388275,1.699235344,176.7204758,33.13508921,0,265.9303314,171.6227698,0,0,0,0,60.32285472,0,2.548853016,180.1189465,0,1.699235344,0,33.98470688,22.09005947,2.548853016,7.646559048,16.99235344,3.398470688,0,16.14273577,0,0,80.71367884,0,123.1945624,0,4.24808836,28.03738318,0,55.22514868,34.83432455,2.548853016,38.23279524,48.42820731,7.646559048,54.37553101,0,6.796941376,0,63.7213254,19.54120646,285.4715378,67.11979609,29.73661852,1531.011045,0.849617672,101.9541206,0,28.03738318,0.849617672,0,15.2931181,0.849617672,0,0,8.49617672,0,0,0,51.82667799,111.299915,289.7196262,33.13508921,28.88700085,0,46.72897196,0,5.097706032,0,0,67.11979609,16.14273577,0,0,0,0,0,0,0,0,0,0,11.04502974,66.27017842
Klebsiella ornithinolytica,0,0,0,0,0,4.573170732,35.06097561,1.524390244,36.58536585,115.8536585,0,0,0,1.524390244,9.146341463,3.048780488,118.902439,3.048780488,0,0,60.97560976,6.097560976,0,28.96341463,175.304878,15.24390244,1.524390244,0,0,16.76829268,379.5731707,532.0121951,0,0,0,0,1.524390244,1.524390244,59.45121951,0,50.30487805,22.86585366,3.048780488,0,13.7195122,27.43902439,44.20731707,96.03658537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.29268293,25.91463415,0,0,0,13.7195122,28.96341463,0,9.146341463,225.6097561,4.573170732,7.62195122,0,33.53658537,0,89.93902439,41.15853659,1.524390244,1.524390244,18.29268293,1.524390244,3.048780488,0,0,0,0,0,0,0,0,0,189.0243902,0,0,0,0,0,0,0,0,0,10.67073171,0,6.097560976,108.2317073,173.7804878,0,25.91463415,0,310.9756098,4.573170732,0,403.9634146,47.25609756,0,0,0,0,10.67073171,0,1.524390244,118.902439,0,1.524390244,0,53.35365854,222.5609756,12.19512195,129.5731707,13.7195122,4.573170732,0,16.76829268,1.524390244,0,314.0243902,7.62195122,141.7682927,0,50.30487805,13.7195122,0,18.29268293,152.4390244,7.62195122,24.3902439,6.097560976,0,56.40243902,0,30.48780488,1.524390244,7.62195122,21.34146341,245.4268293,6.097560976,176.8292683,2137.195122,0,106.7073171,0,28.96341463,0,1.524390244,7.62195122,7.62195122,1.524390244,0,73.17073171,0,0,0,41.15853659,306.402439,150.9146341,28.96341463,18.29268293,0,0,0,0,0,0,242.3780488,1.524390244,0,0,0,0,0,0,0,0,0,0,4.573170732,45.73170732
Klebsiella michiganensis,0,0,0,0,0,2.123142251,47.23991507,154.4585987,13.80042463,66.87898089,0,0,0,0,5.307855626,7.961783439,141.1889597,23.35456476,0,0,79.08704883,19.10828025,0,3.184713376,114.6496815,7.961783439,0.530785563,0,0,3.184713376,178.8747346,420.3821656,0,0,0,0,18.04670913,2.123142251,46.70912951,0,41.93205945,49.36305732,2.123142251,0,15.39278132,4.246284501,159.2356688,24.41613588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.554140127,42.99363057,0,0,0,33.43949045,12.20806794,0,28.13163482,162.4203822,2.123142251,14.86199575,9.023354565,49.36305732,0,140.1273885,102.9723992,0,3.184713376,61.0403397,0,3.184713376,0,48.83227176,1.592356688,0,0,0,0,0,0,213.3757962,0,0,0,0,0,0,0,0,0,52.5477707,0,1.061571125,131.104034,214.4373673,0,45.11677282,0.530785563,797.7707006,39.27813163,0,1133.757962,140.6581741,0,0,0,0,8.492569002,0,132.6963907,128.9808917,0,0.530785563,0,54.67091295,159.7664544,21.23142251,75.90233546,26.53927813,10.61571125,0,10.61571125,1.061571125,0,119.9575372,3.184713376,205.9447983,3.715498938,8.492569002,0,0,30.78556263,182.5902335,39.8089172,19.10828025,10.08492569,60.50955414,51.48619958,0,40.87048832,3.715498938,11.67728238,7.961783439,190.0212314,1.592356688,160.8280255,2933.121019,2.653927813,200.6369427,0,97.66454352,0,6.369426752,5.838641189,2.123142251,1.061571125,5.307855626,17.51592357,0,0,0,47.77070064,144.373673,278.6624204,184.1825902,13.26963907,0,10.61571125,0,80.67940552,0,0,74.84076433,11.67728238,0,0,0,0,0,0,0,0,0,0,3.184713376,41.40127389
Klebsiella grimontii,0,0,0,0,0,0,23.11248074,120.1848998,20.03081664,140.2157165,0,0,0,0,3.081664099,15.40832049,7.704160247,1.540832049,0,0,69.33744222,13.86748844,0,4.622496148,95.53158706,4.622496148,0,0,0,18.48998459,334.3605547,440.6779661,0,0,0,0,16.94915254,0,126.348228,0,64.71494607,57.01078582,16.94915254,0,33.89830508,4.622496148,33.89830508,87.82742681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.48998459,36.97996918,0,0,0,3.081664099,55.46995378,0,1.540832049,388.2896764,6.163328197,15.40832049,12.32665639,26.19414484,1.540832049,63.17411402,64.71494607,6.163328197,1.540832049,44.68412943,3.081664099,1.540832049,0,24.65331279,0,0,0,0,0,0,0,141.7565485,0,0,0,0,0,0,0,0,0,33.89830508,0,3.081664099,180.2773498,311.248074,0,9.244992296,3.081664099,220.3389831,26.19414484,0,311.248074,78.58243451,0,0,0,0,50.84745763,0,1.540832049,58.55161787,0,6.163328197,0,78.58243451,129.4298921,35.43913713,26.19414484,9.244992296,6.163328197,0,3.081664099,0,0,80.12326656,0,289.6764253,0,15.40832049,0,1.540832049,12.32665639,152.5423729,46.22496148,64.71494607,7.704160247,0,21.57164869,0,18.48998459,685.6702619,23.11248074,3.081664099,129.4298921,3.081664099,86.28659476,2625.577812,12.32665639,166.4098613,0,57.01078582,0,3.081664099,10.78582435,1.540832049,1.540832049,44.68412943,3.081664099,0,0,0,80.12326656,195.6856703,289.6764253,55.46995378,10.78582435,0,10.78582435,0,16.94915254,0,0,29.27580894,27.73497689,0,0,0,0,0,0,0,0,0,0,53.92912173,46.22496148
Klebsiella aerogenes,0,0,0,0,0,0,2.470660902,47.56022236,22.85361334,8.647313156,0,3.705991353,0,0,5.558987029,0.617665225,31.5009265,1.235330451,0,0,26.55960469,10.50030883,0,9.882643607,12.97096973,6.176652254,0,0,0,15.44163064,126.003706,100.6794317,0,0,0,0,19.14762199,2.470660902,21.61828289,0,11.11797406,8.029647931,6.79431748,0,50.03088326,28.41260037,58.67819642,80.91414453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.264978382,11.11797406,0,0,0,6.176652254,4.941321804,0,1.235330451,291.5379864,5.558987029,34.58925263,2.470660902,13.58863496,9.882643607,24.70660902,137.7393453,3.088326127,27.17726992,30.88326127,0,9.264978382,0.617665225,7.411982705,8.647313156,0,0,0,0,0,0,100.6794317,0,0,0,0,0,0,0,0,0,8.647313156,0,0,99.4441013,126.003706,0,1.235330451,5.558987029,122.2977146,46.32489191,0,143.2983323,81.53180976,1.235330451,0,0,0,80.29647931,0,17.29462631,3.705991353,0,1.235330451,0,24.70660902,127.8567017,30.26559605,24.70660902,6.176652254,9.264978382,3.705991353,6.79431748,12.97096973,1.852995676,80.29647931,3.705991353,51.88387894,0,7.411982705,1.235330451,56.20753552,8.647313156,87.70846201,3.705991353,52.50154416,31.5009265,858.5546634,16.05929586,0,30.26559605,4.323656578,16.05929586,14.82396541,159.9752934,7.411982705,42.61890056,1372.452131,3.088326127,37.05991353,0,26.55960469,0.617665225,0.617665225,9.882643607,1.852995676,6.176652254,3.088326127,3.705991353,0,0,0,4.323656578,129.0920321,58.06053119,27.79493515,13.58863496,0,28.41260037,0,9.882643607,0,0,7.411982705,3.088326127,0,0,0,0,0,0,0,0,0,0,105.0030883,49.41321804
Escherichia marmotae,0,0,0,0,0,0,57.2519084,0,13.35877863,36.25954198,0,3.816793893,0,0,3.816793893,3.816793893,15.26717557,0,0,0,3.816793893,0,0,5.72519084,51.52671756,1.908396947,0,0,0,5.72519084,1003.816794,85.8778626,0,0,0,0,0,0,24.80916031,0,0,5.72519084,0,0,103.0534351,1.908396947,7.633587786,183.2061069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.3969466,125.9541985,0,0,0,0,26.71755725,3.816793893,17.17557252,135.4961832,3.816793893,9.541984733,13.35877863,13.35877863,0,26.71755725,38.16793893,1.908396947,0,116.4122137,0,53.4351145,0,28.6259542,5.72519084,0,0,0,0,0,0,20.99236641,0,0,0,0,0,0,0,0,0,20.99236641,0,0,118.3206107,158.3969466,0,0,3.816793893,246.1832061,1.908396947,0,641.221374,765.2671756,1.908396947,0,0,0,53.4351145,0,11.45038168,0,0,0,0,87.78625954,406.4885496,5.72519084,9.541984733,0,17.17557252,0,0,53.4351145,11.45038168,217.5572519,7.633587786,62.97709924,0,62.97709924,59.16030534,3.816793893,19.08396947,7.633587786,3.816793893,49.61832061,47.70992366,0,5.72519084,0,3.816793893,0,15.26717557,0,198.4732824,101.1450382,66.79389313,3053.435115,1.908396947,104.9618321,0,34.35114504,0,0,17.17557252,5.72519084,3.816793893,7.633587786,22.90076336,0,0,0,7.633587786,129.7709924,45.80152672,7.633587786,9.541984733,0,87.78625954,0,0,0,0,43.89312977,0,0,0,0,0,0,0,0,0,0,0,0,1068.70229
