"","type","n.ATB","prop.ATB","n.Refseq","prop.Refseq"
"2","AbiD",34255,0.753452121642431,168,1.26955338925414
"3","AbiE",9506,0.209088187661157,23,0.173807904481221
"4","AbiH",3955,0.0869917717441487,13,0.0982392503589511
"5","AbiJ",3152,0.06932947270229,12,0.0906823849467241
"7","AbiL",320,0.00703852514744061,1,0.00755686541222701
"9","AbiP2",2466,0.0542406344174642,6,0.045341192473362
"10","AbiQ",1459,0.032091275594112,14,0.105796115771178
"11","AbiU",119170,2.62119075568905,209,1.57938487115544
"13","Avs",635,0.0139670733394525,9,0.0680117887100431
"14","Azaca",4829,0.106215743553096,4,0.030227461648908
"16","BREX",140945,3.1001403965813,504,3.80866016776241
"17","BstA",32586,0.716741813920311,92,0.695231617924885
"19","CapRel",991,0.0217974325659801,1,0.00755686541222701
"20","Cas",569121,12.5180389701142,1556,11.7584825814252
"21","CBASS",152317,3.35027198400847,346,2.61467543263054
"22","DarTG",1057,0.0232491283776398,15,0.113352981183405
"24","dCTPdeaminase",3595,0.079073430953278,1,0.00755686541222701
"27","DISARM",175,0.00384919344000658,1,0.00755686541222701
"28","Dnd",25942,0.570604435546576,73,0.551651175092572
"29","Dpd",14807,0.325685755806728,28,0.211592231542356
"30","DRT",11337,0.249361748739169,36,0.272047154840172
"31","Druantia",49630,1.09163125958587,202,1.52648681326986
"32","Dsr",847,0.0186300962496319,2,0.015113730824454
"33","Eleos",5161,0.113518213393566,5,0.037784327061135
"34","FS_GIY_YIG",269,0.00591676020206726,3,0.022670596236681
"36","FS_HsdR_like",437,0.00961198590447358,1,0.00755686541222701
"37","Gabija",15668,0.344623787531561,67,0.50630998261921
"41","Gao_Iet",2360,0.0519091229623745,32,0.241819693191264
"42","Gao_Mza",4091,0.089983144931811,14,0.105796115771178
"43","Gao_Ppl",1330,0.02925387014405,19,0.143580442832313
"44","Gao_Qat",23774,0.522918427672665,72,0.544094309680345
"46","Gao_TerY",135,0.00296937779657651,1,0.00755686541222701
"47","Gao_Tmn",9424,0.207284565592126,53,0.400513866848031
"48","Gao_Upx",3084,0.0678337861084588,14,0.105796115771178
"49","GAPS1",1467,0.032267238722798,2,0.015113730824454
"51","GAPS4",2321,0.0510513027100301,2,0.015113730824454
"52","GAPS6",1964,0.0431989480924167,3,0.022670596236681
"53","Hachiman",15087,0.331844465310739,58,0.438298193909166
"54","Hna",14660,0.322452433317123,62,0.468525655558075
"55","Kiwa",49919,1.09798792760965,218,1.64739665986549
"56","Lamassu-Fam",11888,0.261481209227419,35,0.264490289427945
"57","Lit",83,0.00182561746011741,1,0.00755686541222701
"58","MADS",63,0.00138570963840237,1,0.00755686541222701
"59","MazEF",47616,1.04733254193916,177,1.33756517796418
"60","Menshen",14985,0.329600935419992,16,0.120909846595632
"61","Mok_Hok_Sok",54705,1.20325786934606,327,2.47109498979823
"62","Mokosh",195946,4.30990890168874,599,4.52656238192398
"64","NLR",9108,0.200334022009028,41,0.309831481901307
"66","Olokun",14480,0.318493262921687,12,0.0906823849467241
"68","Paris",220737,4.85519664209562,790,5.96992367565934
"69","PD-Lambda-1",17594,0.386986910762719,19,0.143580442832313
"70","PD-Lambda-2",12241,0.269245582280689,7,0.0528980578855891
"71","PD-Lambda-3",1853,0.0407574596818983,9,0.0680117887100431
"72","PD-Lambda-5",3928,0.0863978961848334,3,0.022670596236681
"74","PD-T4-1",113335,2.49284764870369,368,2.78092647169954
"75","PD-T4-10",1023,0.0225012850807242,13,0.0982392503589511
"77","PD-T4-3",175517,3.86056505719792,402,3.03785989571526
"79","PD-T4-5",2067,0.0454644733742492,3,0.022670596236681
"82","PD-T4-8",2437,0.0536027680759774,1,0.00755686541222701
"84","PD-T7-1",987,0.0217094510016371,3,0.022670596236681
"85","PD-T7-2",32438,0.71348649603962,115,0.869039522406106
"87","PD-T7-4",3663,0.0805691175471092,12,0.0906823849467241
"88","PD-T7-5",144,0.00316733631634827,4,0.030227461648908
"89","PfiAT",48733,1.07190139378195,118,0.891710118642787
"90","Pif",3287,0.0722988504988665,21,0.158694173656767
"91","PrrC",6474,0.142398161889158,6,0.045341192473362
"92","PsyrTA",441,0.00969996746881658,2,0.015113730824454
"93","Pycsar",1650,0.0362923952914906,4,0.030227461648908
"94","RADAR",277,0.00609272333075327,29,0.219149096954583
"95","Retron",188424,4.14445956994171,574,4.3376407466183
"96","RexAB",6722,0.147853018878424,20,0.15113730824454
"97","RloC",11493,0.252793029748547,35,0.264490289427945
"98","RM",1666514,36.6556271798807,4588,34.6708985112975
